split,label,generator,segment_id,format_name,original_sample_rate,original_channels,decoded_samples,padding_samples,output_samples,output_sample_rate,output_channels,finite,peak,rms,near_zero_fraction,error
test,FAKE,acestep,fake_086e99f770265bfe_seg02,mp3,48000,2,240000,0,240000,24000,1,True,1.13909876,0.21480692,0.00147917,
test,FAKE,audioldm,fake_00f0eda8fdf380d2_seg02,mp3,16000,1,240000,0,240000,24000,1,True,0.62968963,0.08215218,0.00124167,
test,FAKE,brev,fake_0ae3d7065cde0339_seg02,mp3,48000,2,240000,0,240000,24000,1,True,0.96760625,0.15037378,0.0017625,
test,FAKE,diffrhythm,fake_008f5fb5978acae6_seg02,mp3,44100,2,240000,0,240000,24000,1,True,1.03514004,0.16064185,0.00208333,
test,FAKE,elevenlabs,fake_12ea2381ca1faec3_seg02,mp3,44100,2,240000,0,240000,24000,1,True,1.33638275,0.2148869,0.00111667,
test,REAL,human,real_001881_seg02,mp3,44100,2,240000,0,240000,24000,1,True,1.36609435,0.35205215,0.00251667,
test,FAKE,mubert,fake_098507cc3bebbaa8_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.87281495,0.22209283,0.00214167,
test,FAKE,musicgen,fake_0707241a29bbcf17_seg01,wav,32000,1,240000,0,240000,24000,1,True,1.00956929,0.2681225,0.0,
test,FAKE,producer,fake_00b062a2887001c6_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.62376493,0.18218607,0.00250417,
test,FAKE,songgen,fake_27e0c270a9134282_seg01,mp3,16000,1,240000,0,240000,24000,1,True,0.99197,0.31820227,0.00072917,
test,FAKE,stableaudio,fake_1a56cd5a023463d0_seg02,mp3,44100,2,240000,0,240000,24000,1,True,1.00792015,0.1949209,0.00165833,
test,FAKE,suno,fake_08897759c265bd1d_seg02,mp3,48000,2,240000,0,240000,24000,1,True,0.63676959,0.18585318,0.00134167,
test,FAKE,udio,fake_0a03c8767ee1507a_seg02,mp3,48000,2,240000,0,240000,24000,1,True,1.18351471,0.26815818,0.00157083,
train,FAKE,acestep,fake_00e57a27f5843037_seg02,mp3,48000,2,240000,0,240000,24000,1,True,1.13262105,0.19474684,0.002925,
train,FAKE,audioldm,fake_002144fd685bae45_seg02,mp3,16000,1,240000,0,240000,24000,1,True,0.51005864,0.08666801,0.00102917,
train,FAKE,brev,fake_020394f0bf24690d_seg02,mp3,48000,2,240000,0,240000,24000,1,True,1.20148218,0.27769443,0.002925,
train,FAKE,diffrhythm,fake_00f19645cb50984c_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.85220569,0.17936048,0.003675,
train,FAKE,elevenlabs,fake_02fdf2d61d0eb9c9_seg02,mp3,44100,2,240000,0,240000,24000,1,True,1.16681659,0.23506641,0.001125,
train,REAL,human,real_001382_seg02,mp3,44100,2,240000,0,240000,24000,1,True,1.41083133,0.44149489,0.00251667,
train,FAKE,mubert,fake_024b48a9a25aab9c_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.91393316,0.11037776,0.00171667,
train,FAKE,musicgen,fake_013fdc83ec2e2136_seg01,wav,32000,1,240000,0,240000,24000,1,True,1.30672419,0.50392387,4.17e-06,
train,FAKE,producer,fake_0269e869f4ff0753_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.83867872,0.11426969,0.0,
train,FAKE,songgen,fake_01f0752708ca5e74_seg01,mp3,16000,1,240000,0,240000,24000,1,True,1.17779207,0.33221741,0.00168333,
train,FAKE,stableaudio,fake_01ec293cd3300a3a_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.81941795,0.18491697,0.0,
train,FAKE,suno,fake_007941bbbb0ab485_seg02,mp3,48000,2,240000,0,240000,24000,1,True,0.76482201,0.16746226,0.0005375,
train,FAKE,udio,fake_00aad9ce1bedee17_seg02,mp3,48000,2,240000,0,240000,24000,1,True,1.10639524,0.24736524,0.01029583,
validation,FAKE,acestep,fake_02a0af414bf3ba68_seg02,mp3,48000,2,240000,0,240000,24000,1,True,0.7304101,0.16057781,0.00194167,
validation,FAKE,audioldm,fake_02187ce02680570e_seg02,mp3,16000,1,240000,0,240000,24000,1,True,0.48329973,0.09027562,0.00111667,
validation,FAKE,brev,fake_053efb184af5c879_seg02,mp3,48000,2,240000,0,240000,24000,1,True,1.09176219,0.23803002,0.00371667,
validation,FAKE,diffrhythm,fake_00bc4e0d53d0506f_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.89997548,0.18250059,0.00223333,
validation,FAKE,elevenlabs,fake_008b51bee43a71d5_seg02,mp3,44100,2,240000,0,240000,24000,1,True,1.34867001,0.40700665,0.002375,
validation,REAL,human,real_003966_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.5668391,0.12148433,0.00254167,
validation,FAKE,mubert,fake_058ad496a56c5046_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.8056013,0.184621,0.00314583,
validation,FAKE,musicgen,fake_00377c61f52b6c96_seg01,wav,32000,1,240000,0,240000,24000,1,True,1.0729655,0.51120786,0.0,
validation,FAKE,producer,fake_05308a8efa0c1856_seg02,mp3,44100,2,240000,0,240000,24000,1,True,1.14676654,0.20034632,0.0,
validation,FAKE,songgen,fake_dd538febb5b6be96_seg01,mp3,16000,1,240000,0,240000,24000,1,True,0.95427537,0.19528623,0.00197917,
validation,FAKE,stableaudio,fake_305c4134f00c7b44_seg02,mp3,44100,2,240000,0,240000,24000,1,True,0.96861553,0.24303548,0.00038333,
validation,FAKE,suno,fake_18fe7bd82f73e723_seg02,mp3,48000,2,240000,0,240000,24000,1,True,0.95699191,0.22770951,0.00014583,
validation,FAKE,udio,fake_04a5b4ab50685125_seg02,mp3,48000,2,240000,0,240000,24000,1,True,0.82864469,0.15465642,0.00160833,
