generator,fake_tracks,eer,roc_auc,real_fpr,fake_miss_rate
songgen,42,0.0,1.0,0.18181818181818182,0.0
audioldm,44,0.011363636363636354,0.9943181818181819,0.18181818181818182,0.022727272727272728
acestep,42,0.06980519480519479,0.9745670995670996,0.18181818181818182,0.023809523809523808
suno,40,0.07159090909090907,0.9806818181818182,0.18181818181818182,0.025
diffrhythm,42,0.0817099567099567,0.9908008658008658,0.18181818181818182,0.0
stableaudio,30,0.08409090909090908,0.9909090909090909,0.18181818181818182,0.0
elevenlabs,40,0.13068181818181818,0.9517045454545455,0.18181818181818182,0.05
musicgen,43,0.1379492600422833,0.9503171247357294,0.18181818181818182,0.11627906976744186
udio,40,0.15454545454545454,0.9545454545454545,0.18181818181818182,0.075
producer,20,0.16590909090909092,0.9602272727272727,0.18181818181818182,0.15
brev,40,0.17840909090909093,0.9505681818181818,0.18181818181818182,0.15
mubert,20,0.20227272727272727,0.884090909090909,0.18181818181818182,0.35
