split,generator,tracks,unique_groups,duration_hours
train,acestep,207,206,3.8077
train,audioldm,204,204,1.7408
train,brev,212,107,11.3202
train,diffrhythm,211,203,7.1625
train,elevenlabs,214,107,11.2971
train,mubert,107,106,6.5
train,musicgen,205,205,1.7083
train,producer,108,107,5.5691
train,songgen,205,203,1.6109
train,stableaudio,136,129,6.8
train,suno,214,108,10.8759
train,udio,214,108,7.7842
validation,acestep,45,45,0.8688
validation,audioldm,44,44,0.3755
validation,brev,46,23,2.2028
validation,diffrhythm,46,45,1.543
validation,elevenlabs,46,23,2.37
validation,mubert,22,22,1.3833
validation,musicgen,45,45,0.375
validation,producer,23,23,1.2015
validation,songgen,45,45,0.3504
validation,stableaudio,28,27,1.4
validation,suno,46,23,2.1127
validation,udio,46,23,1.6729
test,acestep,42,42,0.7403
test,audioldm,44,44,0.3755
test,brev,40,20,2.2606
test,diffrhythm,42,41,1.4211
test,elevenlabs,40,20,2.081
test,mubert,20,20,1.2333
test,musicgen,43,43,0.3583
test,producer,20,20,0.9346
test,songgen,42,42,0.3278
test,stableaudio,30,29,1.5
test,suno,40,20,1.9528
test,udio,40,20,1.4548
