split,generator,tracks,unique_groups,segments
train,acestep,207,206,621
train,audioldm,204,204,612
train,brev,212,107,636
train,diffrhythm,211,203,633
train,elevenlabs,214,107,642
train,mubert,107,106,321
train,musicgen,205,205,410
train,producer,108,107,322
train,songgen,205,203,410
train,stableaudio,136,129,408
train,suno,214,108,642
train,udio,214,108,642
validation,acestep,45,45,135
validation,audioldm,44,44,132
validation,brev,46,23,138
validation,diffrhythm,46,45,138
validation,elevenlabs,46,23,138
validation,mubert,22,22,66
validation,musicgen,45,45,90
validation,producer,23,23,69
validation,songgen,45,45,89
validation,stableaudio,28,27,84
validation,suno,46,23,138
validation,udio,46,23,138
test,acestep,42,42,126
test,audioldm,44,44,132
test,brev,40,20,120
test,diffrhythm,42,41,126
test,elevenlabs,40,20,120
test,mubert,20,20,60
test,musicgen,43,43,86
test,producer,20,20,59
test,songgen,42,42,83
test,stableaudio,30,29,90
test,suno,40,20,120
test,udio,40,20,120
