group_id,original_audio,genre,split,fma_track_id,real_duration_sec,tta_track_count,tta_generators
grp_0081a4c2e017,Kumorizoranohajimarutokoro - Hosomi,Electronic,train,24921,29.988571,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_074f788a1c4f,Set Fire to Creation - Nihilore,Electronic,train,140925,30.014694,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_0e5ff00e3738,Robot Heart - Mystery Mammal,Electronic,train,143055,30.014694,16,acestep|audioldm|brev|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|stableaudio|suno|udio
grp_13291cc4aaee,Ancient Whispers I - P C III,Electronic,train,111821,30.014694,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_1434c31dd9b8,shmoove - epsilon not,Electronic,train,114545,30.0,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_14d25ab96ffa,Promo Mix Vocal Edit (Luv Dub Mix) - Pierlo,Electronic,train,64331,29.988571,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_16df96daa2a2,Running Free - Michett featuring Kalipluche,Electronic,train,131965,29.988571,16,acestep|audioldm|brev|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|stableaudio|suno|udio
grp_1bdb692df233,All of Us - Eric Skiff,Electronic,train,47071,29.988571,16,acestep|audioldm|brev|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|stableaudio|suno|udio
grp_1c6052c34949,Key trick - Krisa,Electronic,train,23573,29.988571,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_1e3dbee832e3,Morning Bell - Nihilore,Electronic,train,140922,29.988571,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_264fd82366c9,Daylight Savings - My brother Daniel,Electronic,train,117280,30.014694,14,acestep|audioldm|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|stableaudio|suno|udio
grp_281dead83a55,Four and a Half Tatami - Nihilore,Electronic,train,132442,30.014694,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_2a58ca485854,Strongbreeze - Rowan Box,Electronic,train,148804,29.988571,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_2bc5eed6f0aa,Straw Fields - Rolemusic,Electronic,train,45101,29.988571,16,acestep|audioldm|brev|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|stableaudio|suno|udio
grp_318118d0e097,The Courtyard - Uncle Bibby,Electronic,train,71821,29.988571,16,acestep|audioldm|brev|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|stableaudio|suno|udio
grp_3e1a14d88ee8,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,Electronic,train,114244,29.988571,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_423d0086d02d,Nuo Maisemat - Paavoharju,Electronic,train,31561,30.014694,15,acestep|audioldm|brev|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|suno|udio
grp_472a7e359c72,If You're Ther - Nicola Ratti,Electronic,train,24925,29.988571,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_504e8890ecd7,Okiirobo Navigation System - Henry Homesweet,Electronic,train,22457,30.014694,16,acestep|audioldm|brev|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|stableaudio|suno|udio
grp_5206fec107e9,I Know His Blood - Vienna Ditto,Electronic,train,107616,29.988571,5,acestep|audioldm|diffrhythm|musicgen|songgen
grp_53f5c92d1bc3,Dance Harder - Three Chain Links,Electronic,train,123920,29.988571,16,acestep|audioldm|brev|diffrhythm|elevenlabs|mubert|musicgen|producer|songgen|stableaudio|suno|udio
grp_540d753638f9,Timen Passing By - Jason Shaw,Electronic,train,52650,30.014694,5,acestep|audioldm|diffrhythm|musicgen|songgen
