condition,model,holdout_generator,regime,level,samples,real_samples,fake_samples,eer,eer_threshold_on_test_subset,fixed_validation_threshold,roc_auc,pr_auc_fake,macro_f1,balanced_accuracy,real_fpr,fake_miss_rate,tn,fp,fn,tp
Common MP3 64kbps,Logistic Regression,musicgen,seen,segment,218,132,86,0.15512684989429176,0.6191762954325899,0.4227978677740238,0.9307610993657505,0.9163121267857243,0.8218494623655914,0.8317477096546864,0.19696969696969696,0.13953488372093023,106,26,12,74
Common MP3 64kbps,Logistic Regression,musicgen,unseen,segment,218,132,86,0.25669485553206484,-0.10344514642135971,0.24946214879706607,0.8103417899929528,0.7645966880592967,0.7460603529747907,0.7465644820295982,0.20454545454545456,0.3023255813953488,105,27,26,60
Common MP3 64kbps,Logistic Regression,musicgen,seen,track,87,44,43,0.09196617336152223,1.1343139235863209,0.8496518839184034,0.9693446088794925,0.9753279530395427,0.8850422832980973,0.885306553911205,0.13636363636363635,0.09302325581395349,38,6,4,39
Common MP3 64kbps,Logistic Regression,musicgen,unseen,track,87,44,43,0.206923890063425,0.1186055268596331,0.36553030279225934,0.861522198731501,0.8761365535434427,0.7811465642790945,0.7811839323467231,0.18181818181818182,0.2558139534883721,36,8,11,32
Common MP3 64kbps,RBF-SVM,musicgen,seen,segment,218,132,86,0.21071176885130377,0.7859961667699353,0.8224736880731902,0.8732381959126145,0.786370806401977,0.7808566433566433,0.7832100070472163,0.1893939393939394,0.2441860465116279,107,25,21,65
Common MP3 64kbps,RBF-SVM,musicgen,unseen,segment,218,132,86,0.2776603241719521,0.30288836814219583,0.4611084239290974,0.7815362931642001,0.5995636136708906,0.666644505019613,0.6656976744186047,0.25,0.4186046511627907,99,33,36,50
Common MP3 64kbps,RBF-SVM,musicgen,seen,track,87,44,43,0.1839323467230444,0.873316366856961,0.8334321212857376,0.9175475687103594,0.906027268866072,0.8044943820224719,0.804968287526427,0.22727272727272727,0.16279069767441862,34,10,7,36
Common MP3 64kbps,RBF-SVM,musicgen,unseen,track,87,44,43,0.25290697674418605,0.296354925635262,0.6284874451720928,0.8187103594080338,0.7202225388282933,0.6549979488581977,0.6646405919661733,0.1590909090909091,0.5116279069767442,37,7,22,21
Common MP3 64kbps,Logistic Regression,suno,seen,segment,252,132,120,0.13106060606060604,0.7686200692551473,0.4227978677740238,0.9361111111111111,0.9255936425875013,0.8571068548387097,0.8598484848484849,0.19696969696969696,0.08333333333333333,106,26,10,110
Common MP3 64kbps,Logistic Regression,suno,unseen,segment,252,132,120,0.1549242424242424,0.9384342551665901,0.4282874531404701,0.9175505050505052,0.9063969585106169,0.8411798071469087,0.8420454545454545,0.17424242424242425,0.14166666666666666,109,23,17,103
Common MP3 64kbps,Logistic Regression,suno,seen,track,84,44,40,0.08295454545454543,1.44611114269344,0.8496518839184034,0.9892045454545455,0.9886661395420244,0.9166548547129695,0.9193181818181818,0.13636363636363635,0.025,38,6,1,39
Common MP3 64kbps,Logistic Regression,suno,unseen,track,84,44,40,0.12954545454545452,1.1096227601104303,0.8777771682987434,0.9789772727272726,0.9785468752457038,0.8809523809523809,0.8829545454545455,0.1590909090909091,0.075,37,7,3,37
Common MP3 64kbps,RBF-SVM,suno,seen,segment,252,132,120,0.15075757575757576,0.9825402604514316,0.8224736880731902,0.9296717171717173,0.9190982029489112,0.8492063492063492,0.8511363636363636,0.1893939393939394,0.10833333333333334,107,25,13,107
Common MP3 64kbps,RBF-SVM,suno,unseen,segment,252,132,120,0.1662878787878788,0.893627533283031,0.7576261725344068,0.9159090909090909,0.9012509052898905,0.8253528225806452,0.828030303030303,0.22727272727272727,0.11666666666666667,102,30,14,106
Common MP3 64kbps,RBF-SVM,suno,seen,track,84,44,40,0.04772727272727275,1.1635599619423316,0.8334321212857376,0.9801136363636364,0.9766636196123691,0.8685819940264543,0.8738636363636363,0.22727272727272727,0.025,34,10,1,39
Common MP3 64kbps,RBF-SVM,suno,unseen,track,84,44,40,0.08409090909090908,1.1076811807459928,0.8271946456403227,0.9715909090909091,0.9623160745800823,0.89272030651341,0.8965909090909091,0.18181818181818182,0.025,36,8,1,39
