model,level,generator,n_total,n_real,n_fake,roc_auc,pr_auc,eer,fixed_threshold,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
LogisticRegression,segment,acestep,270,135,135,0.904636488340192,0.9037572574718346,0.16296296296296298,0.6663391213946953,0.8148148148148149,0.814162215737019,0.24444444444444444,0.1259259259259259,102,33,17,118
LogisticRegression,segment,audioldm,270,135,135,0.9603840877914952,0.9578984783343751,0.11111111111111113,0.6663391213946953,0.8666666666666667,0.865,0.24444444444444444,0.022222222222222223,102,33,3,132
LogisticRegression,segment,brev,279,135,144,0.886985596707819,0.8791351425628736,0.1826388888888889,0.6663391213946953,0.8152777777777778,0.8158415841584159,0.24444444444444444,0.125,102,33,18,126
LogisticRegression,segment,diffrhythm,276,135,141,0.8961912266876807,0.8954546118295486,0.2028368794326241,0.6663391213946953,0.7962174940898346,0.7964172813487882,0.24444444444444444,0.16312056737588654,102,33,23,118
LogisticRegression,segment,elevenlabs,279,135,144,0.8037551440329218,0.8148172802941378,0.26157407407407407,0.6663391213946953,0.7076388888888889,0.7059080625257096,0.24444444444444444,0.3402777777777778,102,33,49,95
LogisticRegression,segment,mubert,207,135,72,0.7902263374485596,0.6182103025531065,0.2509259259259259,0.6663391213946953,0.725,0.7164030389836842,0.24444444444444444,0.3055555555555556,102,33,22,50
LogisticRegression,segment,musicgen,270,135,135,0.8891632373113855,0.8779115896193114,0.19999999999999998,0.6663391213946953,0.7962962962962963,0.7959576251391198,0.24444444444444444,0.16296296296296298,102,33,22,113
LogisticRegression,segment,producer,210,135,75,0.8952098765432099,0.8077909058671469,0.18222222222222223,0.6663391213946953,0.8044444444444445,0.7833833458364592,0.24444444444444444,0.14666666666666667,102,33,11,64
LogisticRegression,segment,songgen,225,135,90,0.9301234567901234,0.8953686612498051,0.12407407407407407,0.6663391213946953,0.8555555555555556,0.8347197681113383,0.24444444444444444,0.044444444444444446,102,33,4,86
LogisticRegression,segment,stableaudio,213,135,78,0.8780626780626781,0.8265144446200927,0.2237891737891738,0.6663391213946953,0.8008547008547009,0.7825199101490709,0.24444444444444444,0.15384615384615385,102,33,12,66
LogisticRegression,segment,suno,279,135,144,0.8780349794238682,0.8748332046343795,0.1863425925925926,0.6663391213946953,0.8083333333333333,0.8088472924234393,0.24444444444444444,0.1388888888888889,102,33,20,124
LogisticRegression,segment,udio,279,135,144,0.8110082304526749,0.8343115192344334,0.2543981481481481,0.6663391213946953,0.7458333333333333,0.7454673947960166,0.24444444444444444,0.2638888888888889,102,33,38,106
LogisticRegression,track,acestep,90,45,45,0.9392592592592592,0.9389561197001306,0.1333333333333333,0.6059354207239731,0.8666666666666667,0.8664027709054923,0.17777777777777778,0.08888888888888889,37,8,4,41
LogisticRegression,track,audioldm,90,45,45,0.9822222222222223,0.9823812824639235,0.06666666666666665,0.6059354207239731,0.8999999999999999,0.8993913799528008,0.17777777777777778,0.022222222222222223,37,8,1,44
LogisticRegression,track,brev,93,45,48,0.9277777777777778,0.9143009024711604,0.12916666666666665,0.6059354207239731,0.8694444444444445,0.8702325581395349,0.17777777777777778,0.08333333333333333,37,8,4,44
LogisticRegression,track,diffrhythm,92,45,47,0.9243498817966903,0.9061290577122323,0.15224586288416075,0.6059354207239731,0.8791962174940898,0.8797385620915033,0.17777777777777778,0.06382978723404255,37,8,3,44
LogisticRegression,track,elevenlabs,93,45,48,0.8629629629629629,0.8082356101738063,0.17222222222222222,0.6059354207239731,0.7965277777777777,0.7956989247311828,0.17777777777777778,0.22916666666666666,37,8,11,37
LogisticRegression,track,mubert,69,45,24,0.8398148148148148,0.6533312338042898,0.1930555555555556,0.6059354207239731,0.8069444444444445,0.7978363759296823,0.17777777777777778,0.20833333333333334,37,8,5,19
LogisticRegression,track,musicgen,90,45,45,0.9185185185185185,0.916142364961271,0.17777777777777776,0.6059354207239731,0.8777777777777778,0.8773993808049536,0.17777777777777778,0.06666666666666667,37,8,3,42
LogisticRegression,track,producer,70,45,25,0.9306666666666666,0.8918949063664234,0.12666666666666665,0.6059354207239731,0.8911111111111111,0.8668357641090678,0.17777777777777778,0.04,37,8,1,24
LogisticRegression,track,songgen,90,45,45,0.9629629629629629,0.9675680409083753,0.07777777777777778,0.6059354207239731,0.8777777777777778,0.8773993808049536,0.17777777777777778,0.06666666666666667,37,8,3,42
LogisticRegression,track,stableaudio,71,45,26,0.9188034188034188,0.8463958046477312,0.1354700854700855,0.6059354207239731,0.8534188034188034,0.8388028895768833,0.17777777777777778,0.11538461538461539,37,8,3,23
LogisticRegression,track,suno,93,45,48,0.9226851851851853,0.9097761793499312,0.1298611111111111,0.6059354207239731,0.8902777777777777,0.8914565826330532,0.17777777777777778,0.041666666666666664,37,8,2,46
LogisticRegression,track,udio,93,45,48,0.8578703703703704,0.8578046027320414,0.1930555555555556,0.6059354207239731,0.8173611111111111,0.8171197223828803,0.17777777777777778,0.1875,37,8,9,39
RBF-SVM,segment,acestep,270,135,135,0.9537448559670781,0.9482154208645885,0.1222222222222222,0.9258082151422282,0.874074074074074,0.8738248391885206,0.17037037037037037,0.08148148148148149,112,23,11,124
RBF-SVM,segment,audioldm,270,135,135,0.9817283950617284,0.9782669190859219,0.05925925925925924,0.9258082151422282,0.9148148148148147,0.9141921487888796,0.17037037037037037,0.0,112,23,0,135
RBF-SVM,segment,brev,279,135,144,0.9238683127572016,0.9205328333252449,0.14699074074074076,0.9258082151422282,0.8488425925925926,0.8491348233597693,0.17037037037037037,0.13194444444444445,112,23,19,125
RBF-SVM,segment,diffrhythm,276,135,141,0.9495140530601524,0.9519119303958541,0.13404255319148933,0.9258082151422282,0.8828999211977935,0.8834459459459459,0.17037037037037037,0.06382978723404255,112,23,9,132
