model,level,genre,n_total,n_real,n_fake,roc_auc,pr_auc,eer,fixed_threshold,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
LogisticRegression,segment,Electronic,537,54,483,0.8391611072770494,0.9765123247345143,0.22291235334713594,0.6663391213946953,0.7341269841269842,0.6625188536953243,0.3888888888888889,0.14285714285714285,33,21,69,414
LogisticRegression,segment,Pop,413,30,383,0.8973890339425588,0.9905697451746033,0.15774586597040902,0.6663391213946953,0.836727589208007,0.6439655172413794,0.13333333333333333,0.19321148825065274,26,4,74,309
LogisticRegression,segment,Rock,622,51,571,0.9185124137220563,0.9914853772410221,0.1519865389238007,0.6663391213946953,0.8375055801655162,0.6769799260960752,0.1568627450980392,0.1681260945709282,43,8,96,475
LogisticRegression,track,Electronic,185,18,167,0.8815701929474384,0.9841830135299495,0.22787757817697935,0.6059354207239731,0.7914171656686626,0.7420524261015058,0.3333333333333333,0.08383233532934131,12,6,14,153
LogisticRegression,track,Pop,141,10,131,0.9610687022900763,0.9968779487071904,0.06908396946564883,0.6059354207239731,0.8851145038167939,0.7134146341463414,0.1,0.1297709923664122,9,1,17,114
LogisticRegression,track,Rock,213,17,196,0.9495798319327731,0.993839957080551,0.05492196878751498,0.6059354207239731,0.9246698679471789,0.7883921568627451,0.058823529411764705,0.09183673469387756,16,1,18,178
RBF-SVM,segment,Electronic,537,54,483,0.91910129591289,0.9894093127051593,0.18064182194616973,0.9258082151422282,0.8227513227513228,0.7535943713673906,0.25925925925925924,0.09523809523809523,40,14,46,437
RBF-SVM,segment,Pop,413,30,383,0.9424717145343777,0.9943661136984363,0.10483028720626632,0.9258082151422282,0.8795039164490861,0.7033831033831034,0.1,0.1409921671018277,27,3,54,329
RBF-SVM,segment,Rock,622,51,571,0.9370213934961024,0.9926570925855307,0.1360530201572748,0.9258082151422282,0.8562377665602143,0.6841596702868722,0.11764705882352941,0.16987740805604204,45,6,97,474
RBF-SVM,track,Electronic,185,18,167,0.9687292082501663,0.9965264336107695,0.12741184298070526,0.8784699961277153,0.8619427811044578,0.8217065757283712,0.2222222222222222,0.05389221556886228,14,4,9,158
RBF-SVM,track,Pop,141,10,131,0.9801526717557252,0.9984141965156932,0.12633587786259542,0.8784699961277153,0.8965648854961832,0.7426067907995619,0.1,0.10687022900763359,9,1,14,117
RBF-SVM,track,Rock,213,17,196,0.9690876350540216,0.9969901970479944,0.16086434573829533,0.8784699961277153,0.8671968787515005,0.7034358859196048,0.11764705882352941,0.14795918367346939,15,2,29,167
