model,level,generator,n_total,n_real,n_fake,roc_auc,pr_auc,eer,fixed_threshold,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
RBF-SVM,track,audioldm,90,45,45,1.0,1.0,0.0,0.8784699961277153,0.9222222222222223,0.9217488510744007,0.15555555555555556,0.0,38,7,0,45
RBF-SVM,track,musicgen,90,45,45,0.9950617283950618,0.9955901072922351,0.05555555555555553,0.8784699961277153,0.9111111111111111,0.9107142857142857,0.15555555555555556,0.022222222222222223,38,7,1,44
RBF-SVM,track,songgen,90,45,45,0.9920987654320987,0.9932929292929293,0.0222222222222222,0.8784699961277153,0.9111111111111111,0.9107142857142857,0.15555555555555556,0.022222222222222223,38,7,1,44
RBF-SVM,track,acestep,90,45,45,0.988641975308642,0.9895331272804613,0.05555555555555553,0.8784699961277153,0.9111111111111111,0.9107142857142857,0.15555555555555556,0.022222222222222223,38,7,1,44
RBF-SVM,track,diffrhythm,92,45,47,0.9862884160756502,0.988339572963944,0.07588652482269503,0.8784699961277153,0.9009456264775414,0.9016042780748663,0.15555555555555556,0.0425531914893617,38,7,2,45
RBF-SVM,track,suno,93,45,48,0.9722222222222221,0.9758689453709747,0.07500000000000001,0.8784699961277153,0.8909722222222223,0.8918604651162791,0.15555555555555556,0.0625,38,7,3,45
RBF-SVM,track,brev,93,45,48,0.9694444444444444,0.9733567487214873,0.11874999999999998,0.8784699961277153,0.8805555555555555,0.8812260536398467,0.15555555555555556,0.08333333333333333,38,7,4,44
RBF-SVM,track,producer,70,45,25,0.9591111111111112,0.9399390390627715,0.1577777777777778,0.8784699961277153,0.8622222222222222,0.8492678725236864,0.15555555555555556,0.12,38,7,3,22
RBF-SVM,track,stableaudio,71,45,26,0.9538461538461538,0.9278113185630489,0.12435897435897438,0.8784699961277153,0.8645299145299146,0.8525747508305648,0.15555555555555556,0.11538461538461539,38,7,3,23
RBF-SVM,track,mubert,69,45,24,0.9527777777777777,0.9150048443449241,0.1611111111111111,0.8784699961277153,0.8597222222222223,0.8457066189624329,0.15555555555555556,0.125,38,7,3,21
RBF-SVM,track,udio,93,45,48,0.9013888888888889,0.9136384781574901,0.2041666666666667,0.8784699961277153,0.7659722222222223,0.7627551020408163,0.15555555555555556,0.3125,38,7,15,33
RBF-SVM,track,elevenlabs,93,45,48,0.8967592592592593,0.8969931786785245,0.2041666666666667,0.8784699961277153,0.7555555555555555,0.7516544757924069,0.15555555555555556,0.3333333333333333,38,7,16,32
