generator,LogisticRegression,RBF-SVM,SVM_minus_LR
acestep,0.9392592592592592,0.988641975308642,0.04938271604938271
audioldm,0.9822222222222223,1.0,0.01777777777777767
brev,0.9277777777777778,0.9694444444444444,0.04166666666666663
diffrhythm,0.9243498817966903,0.9862884160756502,0.0619385342789599
elevenlabs,0.8629629629629629,0.8967592592592593,0.033796296296296324
mubert,0.8398148148148148,0.9527777777777777,0.11296296296296293
musicgen,0.9185185185185185,0.9950617283950618,0.07654320987654328
producer,0.9306666666666666,0.9591111111111112,0.028444444444444605
songgen,0.9629629629629629,0.9920987654320987,0.02913580246913583
stableaudio,0.9188034188034188,0.9538461538461538,0.03504273504273503
suno,0.9226851851851853,0.9722222222222221,0.049537037037036824
udio,0.8578703703703704,0.9013888888888889,0.04351851851851851
