generator,mp3_128,mp3_64,original,drop_64_vs_original
acestep,0.9165432098765433,0.8503703703703703,0.9881481481481482,0.1377777777777779
audioldm,0.9935802469135803,0.9955555555555556,1.0,0.004444444444444362
brev,0.8518518518518519,0.7638888888888888,0.9736111111111111,0.20972222222222225
diffrhythm,0.8884160756501182,0.6860520094562648,0.9900709219858156,0.3040189125295508
elevenlabs,0.9324074074074074,0.7916666666666666,0.9606481481481481,0.1689814814814815
mubert,0.7416666666666667,0.6648148148148147,0.924074074074074,0.2592592592592593
musicgen,0.8602469135802469,0.9437037037037037,0.9748148148148148,0.03111111111111109
producer,0.9146666666666666,0.8186666666666667,0.9822222222222222,0.16355555555555557
songgen,0.9985185185185185,0.9980246913580247,1.0,0.0019753086419752597
stableaudio,0.9478632478632478,0.917948717948718,0.9982905982905983,0.08034188034188028
suno,0.8189814814814815,0.6935185185185185,0.9569444444444444,0.26342592592592584
udio,0.8481481481481481,0.7694444444444446,0.9671296296296297,0.19768518518518507
