generator,n_fake,roc_auc,condition
acestep,45,0.9881481481481482,original
audioldm,45,1.0,original
brev,48,0.9736111111111111,original
diffrhythm,47,0.9900709219858156,original
elevenlabs,48,0.9606481481481481,original
mubert,24,0.924074074074074,original
musicgen,45,0.9748148148148148,original
producer,25,0.9822222222222222,original
songgen,45,1.0,original
stableaudio,26,0.9982905982905983,original
suno,48,0.9569444444444444,original
udio,48,0.9671296296296297,original
acestep,45,0.9165432098765433,mp3_128
audioldm,45,0.9935802469135803,mp3_128
brev,48,0.8518518518518519,mp3_128
diffrhythm,47,0.8884160756501182,mp3_128
elevenlabs,48,0.9324074074074074,mp3_128
mubert,24,0.7416666666666667,mp3_128
musicgen,45,0.8602469135802469,mp3_128
producer,25,0.9146666666666666,mp3_128
songgen,45,0.9985185185185185,mp3_128
stableaudio,26,0.9478632478632478,mp3_128
suno,48,0.8189814814814815,mp3_128
udio,48,0.8481481481481481,mp3_128
acestep,45,0.8503703703703703,mp3_64
audioldm,45,0.9955555555555556,mp3_64
brev,48,0.7638888888888888,mp3_64
diffrhythm,47,0.6860520094562648,mp3_64
elevenlabs,48,0.7916666666666666,mp3_64
mubert,24,0.6648148148148147,mp3_64
musicgen,45,0.9437037037037037,mp3_64
producer,25,0.8186666666666667,mp3_64
songgen,45,0.9980246913580247,mp3_64
stableaudio,26,0.917948717948718,mp3_64
suno,48,0.6935185185185185,mp3_64
udio,48,0.7694444444444446,mp3_64
