generator,svm_original,svm_mp3_64,svm_drop_64,cnn_original,cnn_mp3_64,cnn_drop_64,cnn_minus_svm_drop
acestep,0.988641975308642,0.9303703703703704,0.05827160493827155,0.9881481481481482,0.8503703703703703,0.1377777777777779,0.07950617283950634
audioldm,1.0,0.991111111111111,0.008888888888888946,1.0,0.9955555555555556,0.004444444444444362,-0.004444444444444584
brev,0.9694444444444444,0.8796296296296297,0.08981481481481479,0.9736111111111112,0.7638888888888888,0.20972222222222237,0.11990740740740757
diffrhythm,0.9862884160756502,0.8160756501182034,0.17021276595744683,0.9900709219858156,0.6860520094562648,0.3040189125295508,0.133806146572104
elevenlabs,0.8967592592592593,0.8226851851851852,0.07407407407407407,0.960648148148148,0.7916666666666666,0.1689814814814814,0.09490740740740733
mubert,0.9527777777777776,0.9111111111111112,0.04166666666666641,0.924074074074074,0.6648148148148147,0.2592592592592593,0.2175925925925929
musicgen,0.9950617283950618,0.980246913580247,0.014814814814814836,0.9748148148148148,0.9437037037037036,0.0311111111111112,0.016296296296296364
producer,0.9591111111111112,0.9057777777777778,0.053333333333333455,0.9822222222222222,0.8186666666666667,0.16355555555555557,0.11022222222222211
songgen,0.9920987654320989,0.9718518518518516,0.020246913580247217,1.0,0.9980246913580249,0.0019753086419751487,-0.018271604938272068
stableaudio,0.9538461538461538,0.9188034188034188,0.03504273504273503,0.9982905982905984,0.917948717948718,0.08034188034188039,0.04529914529914536
suno,0.972222222222222,0.8763888888888889,0.0958333333333331,0.9569444444444444,0.6935185185185185,0.26342592592592584,0.16759259259259274
udio,0.9013888888888888,0.8916666666666666,0.009722222222222188,0.9671296296296296,0.7694444444444446,0.19768518518518496,0.18796296296296278
