generator,mp3_128,mp3_64,original
acestep,0.9782716049382716,0.9303703703703704,0.988641975308642
audioldm,0.9980246913580246,0.991111111111111,1.0
brev,0.9541666666666666,0.8796296296296297,0.9694444444444444
diffrhythm,0.9796690307328606,0.8160756501182034,0.9862884160756502
elevenlabs,0.8828703703703704,0.8226851851851852,0.8967592592592593
mubert,0.9333333333333333,0.9111111111111112,0.9527777777777777
musicgen,0.9906172839506173,0.980246913580247,0.9950617283950618
producer,0.9493333333333334,0.9057777777777778,0.9591111111111112
songgen,0.9876543209876544,0.9718518518518517,0.9920987654320987
stableaudio,0.9393162393162393,0.9188034188034188,0.9538461538461538
suno,0.9592592592592593,0.8763888888888889,0.9722222222222221
udio,0.8810185185185185,0.8916666666666666,0.9013888888888889
