generator,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp,condition
acestep,0.988641975308642,0.9895331272804613,0.05555555555555553,0.8784699961277153,0.9111111111111111,0.9107142857142857,0.15555555555555556,0.022222222222222223,38,7,1,44,original
audioldm,1.0,1.0,0.0,0.8784699961277153,0.9222222222222223,0.9217488510744007,0.15555555555555556,0.0,38,7,0,45,original
brev,0.9694444444444444,0.9733567487214873,0.11874999999999998,0.8784699961277153,0.8805555555555555,0.8812260536398467,0.15555555555555556,0.08333333333333333,38,7,4,44,original
diffrhythm,0.9862884160756502,0.988339572963944,0.07588652482269503,0.8784699961277153,0.9009456264775414,0.9016042780748663,0.15555555555555556,0.0425531914893617,38,7,2,45,original
elevenlabs,0.8967592592592593,0.8969931786785245,0.2041666666666667,0.8784699961277153,0.7555555555555555,0.7516544757924069,0.15555555555555556,0.3333333333333333,38,7,16,32,original
mubert,0.9527777777777777,0.9150048443449241,0.1611111111111111,0.8784699961277153,0.8597222222222223,0.8457066189624329,0.15555555555555556,0.125,38,7,3,21,original
musicgen,0.9950617283950618,0.9955901072922351,0.05555555555555553,0.8784699961277153,0.9111111111111111,0.9107142857142857,0.15555555555555556,0.022222222222222223,38,7,1,44,original
producer,0.9591111111111112,0.9399390390627715,0.1577777777777778,0.8784699961277153,0.8622222222222222,0.8492678725236864,0.15555555555555556,0.12,38,7,3,22,original
songgen,0.9920987654320987,0.9932929292929293,0.0222222222222222,0.8784699961277153,0.9111111111111111,0.9107142857142857,0.15555555555555556,0.022222222222222223,38,7,1,44,original
stableaudio,0.9538461538461538,0.9278113185630489,0.12435897435897438,0.8784699961277153,0.8645299145299146,0.8525747508305648,0.15555555555555556,0.11538461538461539,38,7,3,23,original
suno,0.9722222222222221,0.9758689453709747,0.07500000000000001,0.8784699961277153,0.8909722222222223,0.8918604651162791,0.15555555555555556,0.0625,38,7,3,45,original
udio,0.9013888888888889,0.9136384781574901,0.2041666666666667,0.8784699961277153,0.7659722222222223,0.7627551020408163,0.15555555555555556,0.3125,38,7,15,33,original
acestep,0.9782716049382716,0.9790532897330708,0.1,0.8784699961277153,0.8999999999999999,0.8993913799528008,0.17777777777777778,0.022222222222222223,37,8,1,44,mp3_128
audioldm,0.9980246913580246,0.998001234681383,0.011111111111111112,0.8784699961277153,0.9111111111111111,0.9104031856645097,0.17777777777777778,0.0,37,8,0,45,mp3_128
brev,0.9541666666666666,0.9542807048178855,0.1618055555555556,0.8784699961277153,0.8798611111111111,0.8808386721025043,0.17777777777777778,0.0625,37,8,3,45,mp3_128
diffrhythm,0.9796690307328606,0.9816040652991039,0.05460992907801416,0.8784699961277153,0.8898345153664302,0.8904761904761904,0.17777777777777778,0.0425531914893617,37,8,2,45,mp3_128
elevenlabs,0.8828703703703704,0.874999537197633,0.2041666666666667,0.8784699961277153,0.7756944444444445,0.774089068825911,0.17777777777777778,0.2708333333333333,37,8,13,35,mp3_128
mubert,0.9333333333333333,0.8595257707016983,0.17222222222222222,0.8784699961277153,0.8902777777777777,0.8639649507119387,0.17777777777777778,0.041666666666666664,37,8,1,23,mp3_128
musicgen,0.9906172839506173,0.9909415550069987,0.044444444444444425,0.8784699961277153,0.9111111111111111,0.9104031856645097,0.17777777777777778,0.0,37,8,0,45,mp3_128
producer,0.9493333333333334,0.9214355189783148,0.18888888888888888,0.8784699961277153,0.8711111111111112,0.8511904761904762,0.17777777777777778,0.08,37,8,2,23,mp3_128
songgen,0.9876543209876544,0.9892543261327035,0.03333333333333331,0.8784699961277153,0.8999999999999999,0.8993913799528008,0.17777777777777778,0.022222222222222223,37,8,1,44,mp3_128
stableaudio,0.9393162393162393,0.9006501591813761,0.14358974358974358,0.8784699961277153,0.8534188034188034,0.8388028895768833,0.17777777777777778,0.11538461538461539,37,8,3,23,mp3_128
suno,0.9592592592592593,0.9606237419091554,0.11874999999999998,0.8784699961277153,0.8798611111111111,0.8808386721025043,0.17777777777777778,0.0625,37,8,3,45,mp3_128
udio,0.8810185185185185,0.8905092890689431,0.2576388888888889,0.8784699961277153,0.7652777777777777,0.7631944444444445,0.17777777777777778,0.2916666666666667,37,8,14,34,mp3_128
acestep,0.9303703703703704,0.9152363357170206,0.14444444444444443,0.8784699961277153,0.8666666666666667,0.8660714285714286,0.2,0.06666666666666667,36,9,3,42,mp3_64
audioldm,0.991111111111111,0.9891218620662282,0.011111111111111112,0.8784699961277153,0.9,0.898989898989899,0.2,0.0,36,9,0,45,mp3_64
