condition,model,level,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
original,LogisticRegression,segment,0.8775947833707054,0.9853215892961439,0.1988169798190675,0.6663391213946953,0.7946184180004638,0.6633112015420861,0.24444444444444444,0.1663187195546277,102,33,239,1198
original,LogisticRegression,track,0.9176338281601438,0.990237623893814,0.13850652271704905,0.6059354207239731,0.8615159694107062,0.7523477111327858,0.17777777777777778,0.09919028340080972,37,8,49,445
original,RBF-SVM,segment,0.9261578906672852,0.9915318225971311,0.14749091471429676,0.9258082151422282,0.8462692337431377,0.7115115115115115,0.17037037037037037,0.1370911621433542,112,23,197,1240
original,RBF-SVM,track,0.9644174538911381,0.9965453527668517,0.13954116059379218,0.8784699961277153,0.8695906432748538,0.7501983425631358,0.15555555555555556,0.10526315789473684,38,7,52,442
mp3_128,LogisticRegression,segment,0.8596974148818268,0.9828751604394386,0.21353127657929327,0.6663391213946953,0.7798036031856491,0.6559804120572414,0.2740740740740741,0.1663187195546277,98,37,239,1198
mp3_128,LogisticRegression,track,0.8961313540260908,0.9870898065978836,0.18301844354475932,0.6059354207239731,0.8534412955465587,0.7545476373812895,0.2,0.0931174089068826,36,9,46,448
mp3_128,RBF-SVM,segment,0.9162194901930463,0.9898304768686559,0.1629011056986005,0.9258082151422282,0.842812959096884,0.723262464145738,0.1925925925925926,0.12178148921363953,109,26,175,1262
mp3_128,RBF-SVM,track,0.9535762483130904,0.9952768003097152,0.13245614035087716,0.8784699961277153,0.8675888439046333,0.7692423924449108,0.17777777777777778,0.08704453441295547,37,8,43,451
mp3_64,LogisticRegression,segment,0.8151601845408385,0.9788136172136517,0.2497950978117993,0.6663391213946953,0.7470965746539859,0.6013838212436299,0.2740740740740741,0.23173277661795408,98,37,333,1104
mp3_64,LogisticRegression,track,0.8506972559604138,0.9816339875165762,0.20218173639226272,0.6059354207239731,0.7755510571300045,0.6265280871071517,0.24444444444444444,0.20445344129554655,34,11,101,393
mp3_64,RBF-SVM,segment,0.8690687904327431,0.98308098975738,0.228941467563597,0.9258082151422282,0.7687002242325833,0.5900638958316536,0.1925925925925926,0.2700069589422408,109,26,388,1049
mp3_64,RBF-SVM,track,0.9061628430049482,0.9882953467267188,0.1688484030589294,0.8784699961277153,0.8493927125506073,0.7436581571374449,0.2,0.10121457489878542,36,9,50,444
