track_sample_id,label,source_path,condition,bitrate,compressed_path,ok,status,size_bytes
sample_00003,REAL,data/raw/FMA/selected_30s/114/114244.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00003.mp3,True,already_exists,481373
sample_00003,REAL,data/raw/FMA/selected_30s/114/114244.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00003.mp3,True,already_exists,241046
sample_00004,REAL,data/raw/FMA/selected_30s/112/112378.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00004.mp3,True,encoded,481212
sample_00004,REAL,data/raw/FMA/selected_30s/112/112378.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00004.mp3,True,encoded,240885
sample_00005,REAL,data/raw/FMA/selected_30s/066/066445.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00005.mp3,True,encoded,482750
sample_00005,REAL,data/raw/FMA/selected_30s/066/066445.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00005.mp3,True,encoded,242214
sample_00021,REAL,data/raw/FMA/selected_30s/118/118048.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00021.mp3,True,encoded,481397
sample_00021,REAL,data/raw/FMA/selected_30s/118/118048.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00021.mp3,True,encoded,241070
sample_00028,REAL,data/raw/FMA/selected_30s/001/001881.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00028.mp3,True,encoded,481083
sample_00028,REAL,data/raw/FMA/selected_30s/001/001881.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00028.mp3,True,encoded,240756
sample_00045,REAL,data/raw/FMA/selected_30s/123/123920.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00045.mp3,True,encoded,481355
sample_00045,REAL,data/raw/FMA/selected_30s/123/123920.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00045.mp3,True,encoded,241028
sample_00049,REAL,data/raw/FMA/selected_30s/013/013197.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00049.mp3,True,encoded,481733
sample_00049,REAL,data/raw/FMA/selected_30s/013/013197.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00049.mp3,True,encoded,241197
sample_00056,REAL,data/raw/FMA/selected_30s/113/113021.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00056.mp3,True,encoded,481655
sample_00056,REAL,data/raw/FMA/selected_30s/113/113021.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00056.mp3,True,encoded,241119
sample_00061,REAL,data/raw/FMA/selected_30s/154/154926.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00061.mp3,True,encoded,481577
sample_00061,REAL,data/raw/FMA/selected_30s/154/154926.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00061.mp3,True,encoded,241041
sample_00079,REAL,data/raw/FMA/selected_30s/106/106336.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00079.mp3,True,encoded,481692
sample_00079,REAL,data/raw/FMA/selected_30s/106/106336.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00079.mp3,True,encoded,241156
sample_00087,REAL,data/raw/FMA/selected_30s/135/135209.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00087.mp3,True,encoded,481801
sample_00087,REAL,data/raw/FMA/selected_30s/135/135209.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00087.mp3,True,encoded,241265
sample_00089,REAL,data/raw/FMA/selected_30s/127/127295.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00089.mp3,True,encoded,482355
sample_00089,REAL,data/raw/FMA/selected_30s/127/127295.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00089.mp3,True,encoded,241819
sample_00090,REAL,data/raw/FMA/selected_30s/141/141892.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00090.mp3,True,encoded,481237
sample_00090,REAL,data/raw/FMA/selected_30s/141/141892.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00090.mp3,True,encoded,240910
sample_00115,REAL,data/raw/FMA/selected_30s/122/122680.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00115.mp3,True,encoded,481172
sample_00115,REAL,data/raw/FMA/selected_30s/122/122680.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00115.mp3,True,encoded,240845
sample_00116,REAL,data/raw/FMA/selected_30s/042/042787.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00116.mp3,True,encoded,481206
sample_00116,REAL,data/raw/FMA/selected_30s/042/042787.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00116.mp3,True,encoded,240879
sample_00121,REAL,data/raw/FMA/selected_30s/003/003971.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00121.mp3,True,encoded,480906
sample_00121,REAL,data/raw/FMA/selected_30s/003/003971.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00121.mp3,True,encoded,240579
sample_00122,REAL,data/raw/FMA/selected_30s/136/136017.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00122.mp3,True,encoded,481694
sample_00122,REAL,data/raw/FMA/selected_30s/136/136017.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00122.mp3,True,encoded,241158
sample_00123,REAL,data/raw/FMA/selected_30s/058/058483.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00123.mp3,True,encoded,481698
sample_00123,REAL,data/raw/FMA/selected_30s/058/058483.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00123.mp3,True,encoded,241162
sample_00132,REAL,data/raw/FMA/selected_30s/147/147377.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00132.mp3,True,encoded,482222
sample_00132,REAL,data/raw/FMA/selected_30s/147/147377.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00132.mp3,True,encoded,241895
sample_00139,REAL,data/raw/FMA/selected_30s/036/036707.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00139.mp3,True,encoded,481910
sample_00139,REAL,data/raw/FMA/selected_30s/036/036707.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00139.mp3,True,encoded,241165
sample_00144,REAL,data/raw/FMA/selected_30s/091/091162.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00144.mp3,True,encoded,481102
sample_00144,REAL,data/raw/FMA/selected_30s/091/091162.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00144.mp3,True,encoded,240775
sample_00146,REAL,data/raw/FMA/selected_30s/022/022476.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00146.mp3,True,encoded,481220
sample_00146,REAL,data/raw/FMA/selected_30s/022/022476.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00146.mp3,True,encoded,240893
sample_00154,REAL,data/raw/FMA/selected_30s/042/042377.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00154.mp3,True,encoded,481265
sample_00154,REAL,data/raw/FMA/selected_30s/042/042377.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00154.mp3,True,encoded,240938
sample_00171,REAL,data/raw/FMA/selected_30s/024/024919.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00171.mp3,True,encoded,481489
sample_00171,REAL,data/raw/FMA/selected_30s/024/024919.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00171.mp3,True,encoded,240953
sample_00174,REAL,data/raw/FMA/selected_30s/006/006796.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00174.mp3,True,encoded,481334
sample_00174,REAL,data/raw/FMA/selected_30s/006/006796.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00174.mp3,True,encoded,241007
sample_00176,REAL,data/raw/FMA/selected_30s/121/121253.mp3,mp3_128,128k,data/processed/mp3_robustness/mp3_128/sample_00176.mp3,True,encoded,481455
sample_00176,REAL,data/raw/FMA/selected_30s/121/121253.mp3,mp3_64,64k,data/processed/mp3_robustness/mp3_64/sample_00176.mp3,True,encoded,241128
