holdout_generator,model,level,test_type,val_eer,n_total,n_real,n_fake,roc_auc,pr_auc,eer,threshold_used,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,tn,fp,fn,tp
musicgen,LogisticRegression,segment,unseen_generator,0.14401354974964997,270,135,135,0.5087517146776406,0.5106420467168378,0.4666666666666667,0.653854547384482,0.5222222222222221,0.4965235114702439,0.2518518518518518,0.7037037037037037,101,34,95,40
musicgen,LogisticRegression,segment,seen_generators,0.14401354974964997,1437,135,1302,0.8744324970131422,0.9836288094504707,0.21800648574842124,0.653854547384482,0.7884365932753029,0.6668344632539006,0.2518518518518518,0.17127496159754224,101,34,223,1079
musicgen,LogisticRegression,track,unseen_generator,0.11363636363636365,90,45,45,0.5308641975308642,0.510986778276047,0.5,0.654144153351703,0.4888888888888889,0.42500000000000004,0.17777777777777778,0.8444444444444444,37,8,38,7
musicgen,LogisticRegression,track,seen_generators,0.11363636363636365,494,45,449,0.9095273447166543,0.9882351516434673,0.19356594902251917,0.654144153351703,0.8398416233605543,0.7106693131161943,0.17777777777777778,0.14253897550111358,37,8,64,385
musicgen,RBF-SVM,segment,unseen_generator,0.13905104292731546,270,135,135,0.6046090534979424,0.5533056696395833,0.4296296296296296,0.9189088373215665,0.5111111111111111,0.4559110893991206,0.17037037037037037,0.8074074074074075,112,23,109,26
musicgen,RBF-SVM,segment,seen_generators,0.13905104292731546,1437,135,1302,0.9200972862263186,0.9896131769093679,0.15803891449052737,0.9189088373215665,0.847994538317119,0.7258783418045478,0.17037037037037037,0.1336405529953917,112,23,174,1128
musicgen,RBF-SVM,track,unseen_generator,0.09431818181818184,90,45,45,0.6123456790123457,0.5885891956603841,0.4,0.8701743820784932,0.5222222222222223,0.4668687146989943,0.15555555555555556,0.8,38,7,36,9
musicgen,RBF-SVM,track,seen_generators,0.09431818181818184,494,45,449,0.9590695372432566,0.9955856271920882,0.14682009403612967,0.8701743820784932,0.8676565206632022,0.7551685075049561,0.15555555555555556,0.1091314031180401,38,7,49,400
udio,LogisticRegression,segment,unseen_generator,0.15261969937088793,279,135,144,0.7324588477366256,0.7561805376553293,0.29768518518518516,0.6651278506719375,0.6870370370370371,0.6836734693877551,0.23703703703703705,0.3888888888888889,103,32,56,88
udio,LogisticRegression,segment,seen_generators,0.15261969937088793,1428,135,1293,0.8892097046776087,0.9850767882652344,0.19413078972243705,0.6651278506719375,0.8037552633840337,0.6864238975442551,0.23703703703703705,0.1554524361948956,103,32,201,1092
udio,LogisticRegression,track,unseen_generator,0.1325496342737722,93,45,48,0.7967592592592593,0.7948008732725214,0.21458333333333332,0.6675155994438899,0.6833333333333333,0.6688034188034189,0.13333333333333333,0.5,39,6,24,24
udio,LogisticRegression,track,seen_generators,0.1325496342737722,491,45,446,0.9334329845540608,0.9917667529824792,0.11711509715994019,0.6675155994438899,0.8705530642750374,0.7417543264336613,0.13333333333333333,0.12556053811659193,39,6,56,390
udio,RBF-SVM,segment,unseen_generator,0.13236565336406858,279,135,144,0.8101851851851851,0.8281798931707465,0.28680555555555554,0.9201508379560404,0.7243055555555555,0.7177871148459384,0.15555555555555556,0.3958333333333333,114,21,57,87
udio,RBF-SVM,segment,seen_generators,0.13236565336406858,1428,135,1293,0.9376414310675718,0.9922903625795922,0.15064019936409728,0.9201508379560404,0.8622840938386183,0.7462891476749632,0.15555555555555556,0.11987625676720805,114,21,155,1138
udio,RBF-SVM,track,unseen_generator,0.11543887147335424,93,45,48,0.8541666666666667,0.8804386693199412,0.23680555555555555,0.8890169324992475,0.7361111111111112,0.7266313932980599,0.1111111111111111,0.4166666666666667,40,5,20,28
udio,RBF-SVM,track,seen_generators,0.11543887147335424,491,45,446,0.9760338814150473,0.9974991924510604,0.11048829098156451,0.8890169324992475,0.8872695565520677,0.7610207203448756,0.1111111111111111,0.11434977578475336,40,5,51,395
